Buy Count,Raised,Total Tokens Issued
0,0.02,6901.613504603754094059
1,0.04,13495.977610987170527002
2,0.06,19820.798728661488167164
3,0.08,25906.649069505604715466
4,0.1,31778.724519578224472576
5,0.12,37458.081962673670832565
6,0.14,42962.532908548241319877
7,0.16,48307.303372793255039765
8,0.18,53505.5306588697732566
9,0.2,58568.643762690495119832
10,0.22,63506.659081882462784252
11,0.24,68328.413396720804518122
12,0.26,73041.749657962661216115
13,0.28,77653.666764756940502619
14,0.3,82170.441512669464760749
15,0.32,86597.728782518090947041
16,0.34,90940.644535135508230587
17,0.36,95203.835086675136822525
18,0.38,99391.535338536404722396
19,0.4,103507.61804100830493956
20,0.42,107555.635722465142616551
21,0.44,111538.856576160841679743
22,0.46,115460.295335993075522169
23,0.48,119322.73997079644370315
24,0.5,123128.774869149554169993
25,0.52,126880.801062665258688932
26,0.54,130581.05393739936202043
27,0.56,134231.61880449493047895
28,0.58,137834.44463806931851751
29,0.6,141391.356237309504880169
30,0.62,144904.065028217558208624
31,0.64,148374.178686479266594205
32,0.66,151803.209734994098020281
33,0.68,155192.583246517013068287
34,0.7,158543.643762690495119832
35,0.72,161857.661524752517290105
36,0.74,165135.838097808328250905
37,0.76,168379.311459283845934173
38,0.78,171589.160612661052617116
39,0.8,174766.409779528428319721
40,0.82,177912.032216116735101236
41,0.84,181026.953694632481214496
42,0.86,184112.055684684622866892
43,0.88,187168.178265790163194013
44,0.9,190196.122798230480031325
45,0.92,193196.6543763207143111
46,0.94,196170.504085373138782169
47,0.96,199118.371081218518442498
48,0.98,202040.924509043860055849
49,1,204938.805276465953825321
50,1.02,207812.627694150108046252
51,1.04,210662.980995870678035216
52,1.06,213490.430748667457673871
53,1.08,216295.520162656846545299
54,1.1,219078.771309089424431754
55,1.12,221840.686254389494970535
56,1.14,224581.748117153028783916
57,1.16,227302.422054405987519922
58,1.18,230003.156182824694539545
59,1.2,232684.382440084633678206
60,1.22,235346.517391025934009084
61,1.24,237989.962982896014959699
62,1.26,240615.107253546498703197
63,1.28,243222.324996117390156939
64,1.3,245811.978383432183637758
65,1.32,248384.417555049051393368
66,1.34,250939.981169662164490352
67,1.36,253478.996925320475468601
68,1.38,256001.782049726305520703
69,1.4,258508.643762690495119832
70,1.42,260999.879712652640473483
71,1.44,263475.77838902223378477
72,1.46,265936.619511957747614071
73,1.48,268382.674401074430448673
74,1.5,270814.206324456550101972
75,1.52,273231.470829244912611011
76,1.54,275634.716054974699229366
77,1.56,278024.183030751113916413
78,1.58,280400.105957270225115646
79,1.6,282762.712474619009760338
80,1.62,285112.223916721330137559
81,1.64,287448.855553234827312398
82,1.66,289772.81681964698861451
83,1.68,292084.311536266483499624
84,1.7,294383.53811675785034353
85,1.72,296670.689766823385885407
86,1.74,298945.954673595305167271
87,1.76,301209.516186263601599677
88,1.78,303461.552988430272042515
89,1.8,305702.239262648434401666
90,1.82,307931.744847575132411794
91,1.84,310150.235388139092114241
92,1.86,312357.872479099183917991
93,1.88,314554.813802345686774251
94,1.9,316741.213258274495778636
95,1.92,318917.2210915440239588
96,1.94,321082.984011505597923134
97,1.96,323238.645307580521341343
98,1.98,325384.344959840575818132
99,2,327520.219745033450576395
